sample_id,cell_type
A2P3-7141-B4_a2p3,7141
A2P3-7141-B5_a2p3,7141
A2P3-7141-B6_a2p3,7141
A2P3-7141-B7_a2p3,7141
A2P3-7141-B8_a2p3,7141
A2P3-7141-B9_a2p3,7141
A2P3-7141-C1_a2p3,7141
A2P3-7141-C10_a2p3,7141
A2P3-7141-C11_a2p3,7141
A2P3-7141-C12_a2p3,7141
A2P3-7141-C2_a2p3,7141
A2P3-7141-C3_a2p3,7141
A2P3-7141-C4_a2p3,7141
A2P3-7141-C5_a2p3,7141
A2P3-7141-C6_a2p3,7141
A2P3-7141-C7_a2p3,7141
A2P3-7141-C8_a2p3,7141
A2P3-7141-C9_a2p3,7141
A2P3-7141-D1_a2p3,7141
A2P3-7141-D10_a2p3,7141
A2P3-7141-D11_a2p3,7141
A2P3-7141-D12_a2p3,7141
A2P3-7141-D2_a2p3,7141
A2P3-7141-D3_a2p3,7141
A2P3-7141-D4_a2p3,7141
A2P3-7141-D5_a2p3,7141
A2P3-7141-D6_a2p3,7141
A2P3-7141-D7_a2p3,7141
A2P3-7141-D8_a2p3,7141
A2P3-7141-D9_a2p3,7141
A2P3-7141-E1_a2p3,7141
A2P3-7141-E10_a2p3,7141
A2P3-7141-E11_a2p3,7141
A2P3-7141-E12_a2p3,7141
A2P3-7141-E2_a2p3,7141
