Gene_1,Gene_2,MI
ETS1,GABPA,0.24733015002737
CD9,MEIS1,0.247280111939798
HIF1A,SRD5A3,0.247279876771358
CTNNB1,LOX,0.24700399755209
CDK4,JAK2,0.246810808280603
CD42/GP1BA,TMEM180/MFSD13A,0.246727906126674
GATA1,SRD5A3,0.246400849051116
CD110/MPL,GATA1,0.246380110066001
EIF4EBP1,ETS1,0.246370651756107
CD41/ITGA2B,SPI1,0.246107243390108
MEIS1,VWF,0.245597258772468
CD42/GP1BA,ETS1,0.245565047001366
CD71/TFRC,VWF,0.245035028433276
CD61/ITGB3,CLU,0.244993308729737
MYB,SDPR,0.244780028729991
CD117/KIT,MEIS1,0.244760797320811
TGFB1,TMEM180/MFSD13A,0.244455226628781
CD34,GABPA,0.244447156910499
CD42/GP1BA,SPI1,0.244441671242154
CD44,SPI1,0.244097037925144
CNRIP1,GATA2,0.244083426887205
CD34,LOX,0.243941724089787
CD44,DDB1,0.24388934554793
ANK1,FOG1/ZFPM1,0.243456208435523
CD61/ITGB3,MEIS1,0.243352461323556
DDB1,KLF1,0.242207154549062
HIF1A,MEIS1,0.242179144520364
CD36,HPRT1,0.242160730055033
CDK6,P27KIP1/CDKN1B,0.241411114843292
DHRS3,RUNX1,0.241392902292707
GFI1B,SRD5A3,0.241333177577817
ANK1,CD38,0.241070007813608
CD117/KIT,SELP,0.240888359217881
DHRS3,TMOD1,0.240738716571593
CLU,P27KIP1/CDKN1B,0.240622112363263
MYB,P27KIP1/CDKN1B,0.240080365838857
CD38,EIF4EBP1,0.239332064858395
CNRIP1,GABPA,0.239015445821308
ETS1,JAK2,0.23891386232677
CD38,CTNNB1,0.238868921209638
CD36,JAK2,0.238766913625564
CD61/ITGB3,CD71/TFRC,0.238589543182627
CD105/ENG,MEIS1,0.238375769276041
ETS1,SRD5A3,0.238337898700885
EIF4EBP1,P27KIP1/CDKN1B,0.23830807958766
CDK6,LOX,0.238049559566574
DHRS3,MCL1,0.237959984017794
FOG1/ZFPM1,MCL1,0.237877320460037
CD105/ENG,TMEM180/MFSD13A,0.237848778312679
CD36,MYB,0.237631554817696
CD34,SELP,0.23751784760205
CLU,GATA2,0.236295190242215
CD42/GP1BA,SRD5A3,0.236017658896643
CD105/ENG,GATA2,0.235929800784136
FOG1/ZFPM1,LSD1/KDM1A,0.235665747908324
CD71/TFRC,SDPR,0.235441985750933
HPRT1,TMEM180/MFSD13A,0.235376243371545
GABPA,SDPR,0.235298609317064
RUNX1,TMOD1,0.235069684771136
CDK4,CNRIP1,0.234858042499258
CD117/KIT,CLU,0.234805524799486
CD71/TFRC,SPI1,0.234628612126988
CD117/KIT,LOX,0.234485488730292
CD105/ENG,GABPA,0.234243063325019
ETS1,MEIS1,0.234086510267514
CD36,LSD1/KDM1A,0.233893224683439
CD38,RUNX1,0.233830649453782
FHL1,MCL1,0.233619531989157
DDB1,TMOD1,0.233185345030047
CTNNB1,TMEM180/MFSD13A,0.233062246348542
DDB1,TMEM180/MFSD13A,0.232968896705301
CDK4,HIF1A,0.232657253188212
HIF1A,MYB,0.232448023838956
SELP,TAL1,0.232294369534571
DDB1,ETS1,0.232115286814595
GABPA,P27KIP1/CDKN1B,0.232077271141139
LOX,TAL1,0.231763656116218
CD110/MPL,CD9,0.231360804004022
PIM1,TAL1,0.230511882675572
ETS1,SELP,0.230472406549867
CD41/ITGA2B,ETS1,0.230084769352947
HPRT1,KLF1,0.229933747521465
LSD1/KDM1A,VWF,0.22993023282131
LOX,MEIS1,0.229492075892568
LSD1/KDM1A,SDPR,0.229165910821738
CLU,MEIS1,0.228940897369323
CDK6,KLF1,0.228762219950621
EIF4EBP1,LOX,0.228626642020862
CD36,TGFB1,0.228437228327251
CNRIP1,FOG1/ZFPM1,0.228256423152546
CLU,LOX,0.228244445243357
CD9,LSD1/KDM1A,0.228234786815452
TAL1,VWF,0.228203055107841
CD36,RUNX1,0.227903896655539
CD9,RUNX1,0.227895531339674
CLU,DDB1,0.227820736848664
JAK2,MEIS1,0.227815151723341
SPI1,TAL1,0.227749615749021
CD44,HIF1A,0.227511773392144
CNRIP1,GFI1B,0.227468131131392
CD105/ENG,KLF1,0.227336542878547
EIF4EBP1,SDPR,0.226730326360758
ETS1,SPI1,0.226164721662813
CD38,DDB1,0.226144614475016
CD36,DDB1,0.22603702034828
CD36,CD42/GP1BA,0.225918595732302
CD38,GABPA,0.22590709466211
HIF1A,VWF,0.225621008667375
ETS1,MYB,0.225164557705643
CD110/MPL,SRD5A3,0.22516369489567
CD110/MPL,CNRIP1,0.225158595566699
CD34,JAK2,0.225127612225432
